alpha,epoch,meteor
1E0,38,13.74
1E0,39,13.29
1E0,40,13.36
1E0,41,11.58
1E0,42,14.16
1E0,43,12.17
1E0,44,12.50
1E0,45,13.68
1E0,46,12.85
1E0,47,13.06
1E0,48,12.37
1E0,49,12.52
1E0,50,13.28
1E0,51,13.34
1E0,52,12.96
1E0,53,12.19
1E0,54,11.80
1E0,55,12.59
1E0,56,12.46
1E0,57,12.68
1E0,58,11.69
1E0,59,12.68
1E0,60,12.39
1E0,61,11.92
1E0,62,13.11
1E0,63,11.52
1E0,64,11.98
1E0,65,12.43
1E0,66,12.06
1E0,67,11.74
1E0,68,12.59
1E0,69,13.96
1E0,70,12.69
1E0,71,12.40
1E0,72,12.39
1E0,73,12.58
1E0,74,12.14
1E0,75,12.72
1E0,76,11.73
1E0,77,12.29
1E0,78,12.25
1E0,79,12.57
1E0,80,12.35
1E0,81,12.63
1E0,82,13.04
1E0,83,12.24
1E0,84,12.65
1E0,85,12.72
1E0,86,13.15
1E0,87,12.18
1E0,88,12.31
1E0,89,12.19
1E0,90,12.12
1E0,91,12.44
1E0,92,12.75
1E0,93,11.83
1E0,94,11.97
1E0,95,12.66
1E0,96,12.56
1E0,97,12.73
1E0,98,12.60
1E0,99,12.08
1E0,100,12.16
1E0,1,18.84
1E0,2,16.15
1E0,3,11.05
1E0,4,16.15
1E0,5,9.66
1E0,6,16.05
1E0,7,11.26
1E0,8,14.84
1E0,9,10.33
1E0,10,12.42
1E0,11,13.14
1E0,12,13.71
1E0,13,13.68
1E0,14,12.36
1E0,15,11.56
1E0,16,10.96
1E0,17,9.37
1E0,18,12.19
1E0,19,12.06
1E0,20,12.98
1E0,21,14.71
1E0,22,10.01
1E0,23,12.24
1E0,24,10.97
1E0,25,17.83
1E0,26,15.19
1E0,27,13.42
1E0,28,12.02
1E0,29,12.61
1E0,30,13.55
1E0,31,12.29
1E0,32,12.06
1E0,33,13.19
1E0,34,15.73
1E0,35,11.22
1E0,36,12.32
1E0,37,13.95
1E0,38,13.30
1E0,39,13.64
1E0,40,15.51
1E0,41,12.17
1E0,42,13.74
1E0,43,13.40
1E0,44,11.98
1E0,45,12.42
1E0,46,16.37
1E0,47,13.61
1E0,48,13.15
1E0,49,13.69
1E0,50,14.39
1E0,51,12.35
1E0,52,15.28
1E0,53,12.21
1E0,54,14.88
1E0,55,14.28
1E0,56,13.30
1E0,57,12.59
1E0,58,14.91
1E0,59,15.70
1E0,60,12.78
1E0,61,13.76
1E0,62,14.07
1E0,63,13.92
1E0,64,13.28
1E0,65,15.84
1E0,66,14.14
1E0,67,13.14
1E0,68,13.77
1E0,69,13.60
1E0,70,14.14
1E0,71,14.66
1E0,72,12.91
1E0,73,13.30
1E0,74,14.26
1E0,75,14.61
1E0,76,14.08
1E0,77,13.55
1E0,78,13.45
1E0,79,14.68
1E0,80,13.58
1E0,81,13.33
1E0,82,14.26
1E0,83,14.57
1E0,84,13.86
1E0,85,13.27
1E0,86,14.40
1E0,87,12.61
1E0,88,14.83
1E0,89,13.36
1E0,90,14.14
1E0,91,13.12
1E0,92,14.87
1E0,93,14.45
1E0,94,13.58
1E0,95,13.37
1E0,96,13.41
1E0,97,13.74
1E0,98,13.88
1E0,99,14.02
1E0,100,14.02
1E0,1,15.42
1E0,2,9.27
1E0,3,15.97
1E0,4,11.51
1E0,5,16.15
1E0,6,16.36
1E0,7,16.41
1E0,8,16.49
1E0,9,10.02
1E0,10,10.61
1E0,11,16.95
1E0,12,13.02
1E0,13,12.91
1E0,14,11.33
1E0,15,12.22
1E0,16,11.59
1E0,17,12.07
1E0,18,13.50
1E0,19,11.86
1E0,20,11.65
1E0,21,13.25
1E0,22,14.31
1E0,23,11.99
1E0,24,11.93
1E0,25,10.33
1E0,26,11.69
1E0,27,13.29
1E0,28,11.24
1E0,29,10.22
1E0,30,11.42
1E0,31,11.42
1E0,32,11.44
1E0,33,11.90
1E0,34,11.08
1E0,35,11.92
1E0,36,10.49
1E0,37,10.79
1E0,38,12.49
1E0,39,11.58
1E0,40,12.57
1E0,41,11.74
1E0,42,12.15
1E0,43,11.67
1E0,44,12.89
1E0,45,13.83
1E0,46,13.28
1E0,47,13.42
1E0,48,13.70
1E0,49,12.03
1E0,50,14.23
1E0,51,13.10
1E0,52,12.51
1E0,53,13.38
1E0,54,12.39
1E0,55,12.88
1E0,56,14.38
1E0,57,13.45
1E0,58,13.39
1E0,59,13.01
1E0,60,13.68
1E0,61,13.89
1E0,62,12.84
1E0,63,12.87
1E0,64,13.17
1E0,65,12.75
1E0,66,13.25
1E0,67,12.69
1E0,68,12.74
1E0,69,13.98
1E0,70,12.83
1E0,71,11.87
1E0,72,13.19
1E0,73,12.26
1E0,74,14.01
1E0,75,13.26
1E0,76,12.52
1E0,77,12.61
1E0,78,12.69
1E0,79,12.33
1E0,80,12.48
1E0,81,12.89
1E0,82,11.85
1E0,83,13.13
1E0,84,12.52
1E0,85,12.42
1E0,86,12.15
1E0,87,12.73
1E0,88,12.95
1E0,89,12.93
1E0,90,12.71
1E0,91,12.85
1E0,92,12.40
1E0,93,12.71
1E0,94,12.41
1E0,95,11.79
1E0,96,12.31
1E0,97,12.55
1E0,98,13.06
1E0,99,12.32
1E0,100,12.70
1E1,1,16.15
1E1,2,16.29
1E1,3,12.95
1E1,4,10.96
1E1,5,16.03
1E1,6,16.43
1E1,7,16.62
1E1,8,13.16
1E1,9,13.78
1E1,10,15.74
1E1,11,12.36
1E1,12,13.63
1E1,13,11.94
1E1,14,10.79
1E1,15,16.15
1E1,16,11.39
1E1,17,13.07
1E1,18,11.79
1E1,19,13.68
1E1,20,14.34
1E1,21,15.05
1E1,22,13.77
1E1,23,12.72
1E1,24,14.61
1E1,25,12.75
1E1,26,15.54
1E1,27,12.05
1E1,28,13.74
1E1,29,15.03
1E1,30,15.53
1E1,31,14.32
1E1,32,12.96
1E1,33,13.86
1E1,34,14.31
1E1,35,14.95
1E1,36,13.79
1E1,37,12.72
1E1,38,13.56
1E1,39,12.34
1E1,40,12.32
1E1,41,13.56
1E1,42,14.05
1E1,43,14.08
1E1,44,14.03
1E1,45,13.77
1E1,46,13.14
1E1,47,14.82
1E1,48,12.58
1E1,49,13.67
1E1,50,13.45
1E1,51,12.81
1E1,52,13.42
1E1,53,14.33
1E1,54,14.13
1E1,55,14.87
1E1,56,12.49
1E1,57,12.54
1E1,58,13.56
1E1,59,15.06
1E1,60,13.37
1E1,61,13.92
1E1,62,12.85
1E1,63,14.29
1E1,64,14.44
1E1,65,13.97
1E1,66,13.67
1E1,67,13.34
1E1,68,13.84
1E1,69,14.81
1E1,70,13.06
1E1,71,13.60
1E1,72,12.80
1E1,73,14.28
1E1,74,12.82
1E1,75,14.26
1E1,76,12.82
1E1,77,12.96
1E1,78,12.94
1E1,79,12.94
1E1,80,14.10
1E1,81,13.00
1E1,82,13.46
1E1,83,13.45
1E1,84,13.83
1E1,85,13.30
1E1,86,12.79
1E1,87,13.38
1E1,88,13.13
1E1,89,12.72
1E1,90,13.93
1E1,91,13.71
1E1,92,13.47
1E1,93,13.96
1E1,94,13.46
1E1,95,13.69
1E1,96,13.16
1E1,97,13.93
1E1,98,12.49
1E1,99,13.64
1E1,100,13.84
1E1,1,16.34
1E1,2,16.34
1E1,3,15.35
1E1,4,14.04
1E1,5,16.47
1E1,6,11.97
1E1,7,13.85
1E1,8,16.37
1E1,9,15.75
1E1,10,13.80
1E1,11,12.10
1E1,12,9.95
1E1,13,16.33
1E1,14,12.80
1E1,15,12.96
1E1,16,15.60
1E1,17,11.77
1E1,18,14.11
1E1,19,14.24
1E1,20,14.34
1E1,21,9.94
1E1,22,12.81
1E1,23,11.42
1E1,24,11.56
1E1,25,13.30
1E1,26,15.30
1E1,27,13.50
1E1,28,12.93
1E1,29,13.37
1E1,30,13.14
1E1,31,12.76
1E1,32,12.35
1E1,33,14.92
1E1,34,14.41
1E1,35,13.91
1E1,36,15.46
1E1,37,14.65
1E1,38,14.25
1E1,39,13.82
1E1,40,14.70
1E1,41,13.30
1E1,42,13.15
1E1,43,14.98
1E1,44,14.71
1E1,45,13.89
1E1,46,15.17
1E1,47,14.17
1E1,48,13.32
1E1,49,16.28
1E1,50,14.49
1E1,51,13.75
1E1,52,13.80
1E1,53,13.89
1E1,54,13.61
1E1,55,13.20
1E1,56,14.66
1E1,57,15.11
1E1,58,13.90
1E1,59,14.45
1E1,60,13.58
1E1,61,13.74
1E1,62,15.02
1E1,63,12.23
1E1,64,13.11
1E1,65,14.50
1E1,66,12.85
1E1,67,14.18
1E1,68,13.88
1E1,69,13.06
1E1,70,13.13
1E1,71,13.29
1E1,72,13.31
1E1,73,13.82
1E1,74,13.54
1E1,75,13.37
1E1,76,14.14
1E1,77,14.49
1E1,78,13.90
1E1,79,13.75
1E1,80,12.93
1E1,81,13.37
1E1,82,13.56
1E1,83,13.31
1E1,84,13.59
1E1,85,12.28
1E1,86,14.29
1E1,87,13.83
1E1,88,13.28
1E1,89,13.27
1E1,90,13.44
1E1,91,13.11
1E1,92,13.36
1E1,93,13.42
1E1,94,13.86
1E1,95,13.72
1E1,96,12.19
1E1,97,12.81
1E1,98,14.63
1E1,99,13.28
1E1,100,13.01
1E1,1,15.86
1E1,2,12.40
1E1,3,10.85
1E1,4,11.52
1E1,5,10.47
1E1,6,10.54
1E1,7,10.33
1E1,8,17.51
1E1,9,13.75
1E1,10,13.25
1E1,11,12.44
1E1,12,12.93
1E1,13,13.23
1E1,14,11.92
1E1,15,14.52
1E1,16,12.23
1E1,17,12.76
1E1,18,11.44
1E1,19,12.32
1E1,20,11.60
1E1,21,11.90
1E1,22,11.36
1E1,23,14.11
1E1,24,13.46
1E1,25,14.02
1E1,26,13.45
1E1,27,11.24
1E1,28,12.58
1E1,29,13.23
1E1,30,13.34
1E1,31,11.25
1E1,32,12.69
1E1,33,13.09
1E1,34,13.94
1E1,35,11.69
1E1,36,12.49
1E1,37,12.94
1E1,38,12.54
1E1,39,12.64
1E1,40,12.60
1E1,41,12.91
1E1,42,12.68
1E1,43,13.35
1E1,44,12.48
1E1,45,13.96
1E1,46,13.74
1E1,47,13.47
1E1,48,13.24
1E1,49,12.78
1E1,50,13.03
1E1,51,13.20
1E1,52,13.26
1E1,53,12.93
1E1,54,12.75
1E1,55,12.79
1E1,56,13.03
1E1,57,11.89
1E1,58,13.18
1E1,59,12.99
1E1,60,12.69
1E1,61,12.23
1E1,62,11.93
1E1,63,12.09
1E1,64,12.43
1E1,65,11.80
1E1,66,13.49
1E1,67,13.14
1E1,68,11.91
1E1,69,11.79
1E1,70,12.13
1E1,71,12.29
1E1,72,12.43
1E1,73,12.03
1E1,74,11.17
1E1,75,12.54
1E1,76,12.87
1E1,77,12.61
1E1,78,12.67
1E1,79,12.13
1E1,80,11.78
1E1,81,12.79
1E1,82,11.67
1E1,83,12.03
1E1,84,12.13
1E1,85,11.58
1E1,86,11.86
1E1,87,12.02
1E1,88,11.48
1E1,89,12.05
1E1,90,11.89
1E1,91,12.10
1E1,92,12.21
1E1,93,11.52
1E1,94,11.51
1E1,95,12.48
1E1,96,12.80
1E1,97,12.35
1E1,98,12.42
1E1,99,11.36
1E1,100,11.05
1E1,1,16.85
1E1,2,12.22
1E1,3,18.55
1E1,4,15.06
1E1,5,13.74
1E1,6,10.03
1E1,7,11.62
1E1,8,15.51
1E1,9,15.72
1E1,10,15.79
1E1,11,12.74
1E1,12,13.71
1E1,13,13.80
1E1,14,12.80
1E1,15,12.73
1E1,16,13.38
1E1,17,14.94
1E1,18,13.41
1E1,19,14.11
1E1,20,10.77
1E1,21,11.83
1E1,22,13.39
1E1,23,14.83
1E1,24,12.77
1E1,25,12.76
1E1,26,12.45
1E1,27,13.38
1E1,28,12.17
1E1,29,12.92
1E1,30,13.53
1E1,31,13.90
1E1,32,16.51
1E1,33,13.97
1E1,34,13.69
1E1,35,12.57
1E1,36,12.66
1E1,37,13.14
1E1,38,14.12
1E1,39,13.15
1E1,40,13.01
1E1,41,14.15
1E1,42,15.06
1E1,43,15.13
1E1,44,16.37
1E1,45,14.59
1E1,46,15.28
1E1,47,14.85
1E1,48,14.98
1E1,49,14.06
1E1,50,15.08
1E1,51,13.12
1E1,52,14.19
1E1,53,14.44
1E1,54,15.21
1E1,55,16.24
1E1,56,14.19
1E1,57,13.80
1E1,58,13.42
1E1,59,14.39
1E1,60,14.01
1E1,61,14.83
1E1,62,15.09
1E1,63,16.58
1E1,64,15.19
1E1,65,15.91
1E1,66,14.10
1E1,67,15.48
1E1,68,15.22
1E1,69,13.88
1E1,70,15.11
1E1,71,13.85
1E1,72,14.93
1E1,73,14.84
1E1,74,14.31
1E1,75,14.44
1E1,76,14.76
1E1,77,13.72
1E1,78,14.31
1E1,79,14.06
1E1,80,15.12
1E1,81,12.49
1E1,82,15.90
1E1,83,13.98
1E1,84,13.89
1E1,85,14.14
1E1,86,15.93
1E1,87,13.56
1E1,88,13.42
1E1,89,15.14
1E1,90,13.81
1E1,91,13.88
1E1,92,15.40
1E1,93,14.24
1E1,94,14.78
1E1,95,15.16
1E1,96,13.38
1E1,97,14.56
1E1,98,14.42
1E1,99,14.17
1E1,100,14.68
1E1,1,13.68
1E1,2,15.49
1E1,3,16.26
1E1,4,13.48
1E1,5,12.79
1E1,6,15.77
1E1,7,15.37
1E1,8,14.33
1E1,9,15.25
1E1,10,14.36
1E1,11,16.68
1E1,12,13.37
1E1,13,13.61
1E1,14,14.09
1E1,15,13.64
1E1,16,14.38
1E1,17,14.37
1E1,18,15.04
1E1,19,16.06
1E1,20,15.50
1E1,21,13.33
1E1,22,15.24
1E1,23,15.74
1E1,24,16.56
1E1,25,16.14
1E1,26,14.13
1E1,27,13.95
1E1,28,14.85
1E1,29,15.28
1E1,30,14.59
1E1,31,13.38
1E1,32,13.64
1E1,33,13.59
1E1,34,14.51
1E1,35,14.20
1E1,36,13.55
1E1,37,13.75
1E1,38,15.67
1E1,39,13.44
1E1,40,14.01
1E1,41,13.08
1E1,42,12.61
1E1,43,14.69
1E1,44,14.33
1E1,45,15.41
1E1,46,12.30
1E1,47,14.53
1E1,48,12.09
1E1,49,12.03
1E1,50,13.20
1E1,51,12.94
1E1,52,11.82
1E1,53,14.02
1E1,54,13.78
1E1,55,13.85
1E1,56,12.46
1E1,57,13.04
1E1,58,13.63
1E1,59,14.14
1E1,60,12.78
1E1,61,12.36
1E1,62,14.12
1E1,63,13.54
1E1,64,11.87
1E1,65,13.19
1E1,66,11.63
1E1,67,12.53
1E1,68,11.96
1E1,69,13.55
1E1,70,12.53
1E1,71,12.72
1E1,72,12.27
1E1,73,13.03
1E1,74,12.18
1E1,75,12.82
1E1,76,11.95
1E1,77,12.44
1E1,78,13.42
1E1,79,12.75
1E1,80,12.79
1E1,81,13.17
1E1,82,13.35
1E1,83,12.84
1E1,84,12.81
1E1,85,13.56
1E1,86,11.76
1E1,87,12.74
1E1,88,12.81
1E1,89,12.91
1E1,90,11.88
1E1,91,11.47
1E1,92,12.26
1E1,93,12.23
1E1,94,11.72
1E1,95,11.23
1E1,96,12.41
1E1,97,12.00
1E1,98,11.86
1E1,99,12.07
1E1,100,13.30
1E2,1,8.67
1E2,2,16.15
1E2,3,12.48
1E2,4,11.17
1E2,5,13.52
1E2,6,11.77
1E2,7,15.79
1E2,8,14.56
1E2,9,15.89
1E2,10,12.67
1E2,11,11.30
1E2,12,15.39
1E2,13,16.92
1E2,14,13.58
1E2,15,14.71
1E2,16,15.16
1E2,17,14.26
1E2,18,12.07
1E2,19,14.82
1E2,20,11.75
1E2,21,12.66
1E2,22,14.15
1E2,23,14.60
1E2,24,15.07
1E2,25,13.88
1E2,26,13.52
1E2,27,9.34
1E2,28,12.03
1E2,29,14.00
1E2,30,14.06
1E2,31,11.50
1E2,32,12.84
1E2,33,12.70
1E2,34,11.71
1E2,35,11.97
1E2,36,11.49
1E2,37,11.69
1E2,38,14.38
1E2,39,12.41
1E2,40,11.41
1E2,41,14.45
1E2,42,11.90
1E2,43,14.35
1E2,44,11.40
1E2,45,12.48
1E2,46,12.30
1E2,47,12.37
1E2,48,13.17
1E2,49,12.39
1E2,50,13.88
1E2,51,13.28
1E2,52,12.96
1E2,53,13.41
1E2,54,11.48
1E2,55,14.94
1E2,56,12.53
1E2,57,11.75
1E2,58,13.17
1E2,59,14.53
1E2,60,11.89
1E2,61,12.83
1E2,62,14.85
1E2,63,12.75
1E2,64,12.64
1E2,65,14.22
1E2,66,14.66
1E2,67,13.72
1E2,68,11.74
1E2,69,12.85
1E2,70,13.93
1E2,71,13.75
1E2,72,13.47
1E2,73,12.23
1E2,74,14.15
1E2,75,11.96
1E2,76,13.48
1E2,77,12.10
1E2,78,11.15
1E2,79,13.36
1E2,80,11.74
1E2,81,11.90
1E2,82,13.51
1E2,83,9.42
1E2,84,12.60
1E2,85,12.44
1E2,86,12.49
1E2,87,11.74
1E2,88,12.01
1E2,89,12.91
1E2,90,12.37
1E2,91,13.12
1E2,92,11.66
1E2,93,11.93
1E2,94,11.22
1E2,95,12.81
1E2,96,12.42
1E2,97,10.97
1E2,98,12.40
1E2,99,11.66
1E2,100,13.14
1E2,1,16.15
1E2,2,12.45
1E2,3,16.29
1E2,4,16.14
1E2,5,16.44
1E2,6,15.01
1E2,7,14.26
1E2,8,15.85
1E2,9,13.98
1E2,10,14.49
1E2,11,14.62
1E2,12,15.40
1E2,13,15.41
1E2,14,14.62
1E2,15,16.01
1E2,16,15.69
1E2,17,13.37
1E2,18,13.92
1E2,19,15.89
1E2,20,15.88
1E2,21,12.35
1E2,22,15.02
1E2,23,13.63
1E2,24,12.34
1E2,25,14.24
1E2,26,13.47
1E2,27,13.17
1E2,28,14.81
1E2,29,12.38
1E2,30,13.38
1E2,31,14.86
1E2,32,13.60
1E2,33,13.62
1E2,34,13.88
1E2,35,13.67
1E2,36,14.35
1E2,37,13.32
1E2,38,14.21
1E2,39,14.30
1E2,40,14.20
1E2,41,14.62
1E2,42,13.97
1E2,43,13.48
1E2,44,13.78
1E2,45,12.22
1E2,46,13.79
1E2,47,13.55
1E2,48,13.03
1E2,49,13.73
1E2,50,12.94
1E2,51,13.39
1E2,52,12.81
1E2,53,12.37
1E2,54,11.90
1E2,55,12.66
1E2,56,12.24
1E2,57,12.03
1E2,58,13.04
1E2,59,13.34
1E2,60,13.43
1E2,61,13.39
1E2,62,13.48
1E2,63,12.83
1E2,64,13.68
1E2,65,12.53
1E2,66,12.78
1E2,67,12.51
1E2,68,13.25
1E2,69,12.94
1E2,70,12.86
1E2,71,11.31
1E2,72,11.72
1E2,73,12.23
1E2,74,13.18
1E2,75,13.01
1E2,76,12.27
1E2,77,13.04
1E2,78,12.48
1E2,79,13.22
1E2,80,12.74
1E2,81,13.03
1E2,82,12.38
1E2,83,12.85
1E2,84,12.67
1E2,85,13.45
1E2,86,13.08
1E2,87,11.33
1E2,88,12.99
1E2,89,12.44
1E2,90,13.17
1E2,91,12.92
1E2,92,12.93
1E2,93,12.10
1E2,94,12.92
1E2,95,12.72
1E2,96,12.51
1E2,97,13.10
1E2,98,12.95
1E2,99,13.86
1E2,100,13.60
1E2,1,13.68
1E2,2,16.34
1E2,3,16.15
1E2,4,15.11
1E2,5,11.41
1E2,6,11.23
1E2,7,12.79
1E2,8,16.47
1E2,9,15.17
1E2,10,14.61
1E2,11,13.43
1E2,12,12.84
1E2,13,14.66
1E2,14,15.31
1E2,15,14.32
1E2,16,12.44
1E2,17,14.71
1E2,18,15.04
1E2,19,15.45
1E2,20,12.37
1E2,21,15.22
1E2,22,14.24
1E2,23,14.55
1E2,24,11.83
1E2,25,10.40
1E2,26,13.55
1E2,27,13.79
1E2,28,12.19
1E2,29,13.73
1E2,30,13.09
1E2,31,12.61
1E2,32,12.07
1E2,33,11.72
1E2,34,15.34
1E2,35,12.15
1E2,36,14.30
1E2,37,13.88
1E2,38,16.02
1E2,39,13.97
1E2,40,14.85
1E2,41,12.56
1E2,42,13.48
1E2,43,13.98
1E2,44,13.37
1E2,45,12.73
1E2,46,13.50
1E2,47,14.07
1E2,48,13.81
1E2,49,12.91
1E2,50,13.01
1E2,51,12.95
1E2,52,12.84
1E2,53,14.34
1E2,54,13.42
1E2,55,12.46
1E2,56,14.47
1E2,57,13.32
1E2,58,12.84
1E2,59,13.73
1E2,60,13.41
1E2,61,14.52
1E2,62,12.43
1E2,63,12.80
1E2,64,12.51
1E2,65,13.63
1E2,66,12.24
1E2,67,11.74
1E2,68,12.28
1E2,69,11.79
1E2,70,13.87
1E2,71,13.31
1E2,72,12.65
1E2,73,13.51
1E2,74,11.27
1E2,75,12.72
1E2,76,13.56
1E2,77,11.82
1E2,78,13.08
1E2,79,12.17
1E2,80,11.78
1E2,81,12.04
1E2,82,13.36
1E2,83,13.42
1E2,84,13.19
1E2,85,12.08
1E2,86,13.30
1E2,87,11.37
1E2,88,12.25
1E2,89,11.36
1E2,90,13.25
1E2,91,11.87
1E2,92,12.41
1E2,93,12.67
1E2,94,11.84
1E2,95,12.01
1E2,96,11.33
1E2,97,12.90
1E2,98,13.12
1E2,99,12.62
1E2,100,13.33
1E2,1,16.57
1E2,2,16.50
1E2,3,16.48
1E2,4,16.46
1E2,5,16.29
1E2,6,15.22
1E2,7,16.46
1E2,8,15.90
1E2,9,9.26
1E2,10,11.67
1E2,11,11.97
1E2,12,13.69
1E2,13,15.75
1E2,14,14.41
1E2,15,12.71
1E2,16,15.16
1E2,17,12.28
1E2,18,12.32
1E2,19,12.20
1E2,20,11.92
1E2,21,15.27
1E2,22,13.05
1E2,23,12.76
1E2,24,15.41
1E2,25,15.39
1E2,26,10.99
1E2,27,13.29
1E2,28,12.90
1E2,29,13.76
1E2,30,14.64
1E2,31,13.91
1E2,32,14.27
1E2,33,12.29
1E2,34,16.90
1E2,35,11.73
1E2,36,12.30
1E2,37,14.22
1E2,38,11.89
1E2,39,12.03
1E2,40,14.82
1E2,41,13.09
1E2,42,13.55
1E2,43,14.47
1E2,44,11.80
1E2,45,13.02
1E2,46,15.79
1E2,47,13.90
1E2,48,13.55
1E2,49,14.77
1E2,50,13.74
1E2,51,14.33
1E2,52,13.84
1E2,53,14.06
1E2,54,13.52
1E2,55,14.02
1E2,56,13.39
1E2,57,14.32
1E2,58,13.33
1E2,59,12.89
1E2,60,12.50
1E2,61,13.54
1E2,62,15.13
1E2,63,14.40
1E2,64,12.75
1E2,65,11.87
1E2,66,13.81
1E2,67,12.95
1E2,68,13.63
1E2,69,12.55
1E2,70,12.43
1E2,71,11.96
1E2,72,12.88
1E2,73,12.82
1E2,74,13.36
1E2,75,12.99
1E2,76,12.95
1E2,77,13.81
1E2,78,13.71
1E2,79,13.47
1E2,80,12.08
1E2,81,13.05
1E2,82,12.39
1E2,83,12.77
1E2,84,13.73
1E2,85,13.69
1E2,86,13.84
1E2,87,13.62
1E2,88,13.14
1E2,89,12.88
1E2,90,11.90
1E2,91,13.50
1E2,92,13.43
1E2,93,12.72
1E2,94,13.14
1E2,95,12.03
1E2,96,12.65
1E2,97,12.18
1E2,98,11.66
1E2,99,13.31
1E2,100,12.95
1E2,1,16.34
1E2,2,16.34
1E2,3,14.88
1E2,4,15.20
1E2,5,11.03
1E2,6,13.30
1E2,7,14.28
1E2,8,13.57
1E2,9,10.96
1E2,10,15.65
1E2,11,10.44
1E2,12,11.26
1E2,13,12.02
1E2,14,11.33
1E2,15,14.32
1E2,16,12.32
1E2,17,9.77
1E2,18,12.28
1E2,19,13.00
1E2,20,11.28
1E2,21,11.29
1E2,22,10.81
1E2,23,13.57
1E2,24,11.61
1E2,25,13.41
1E2,26,14.41
1E2,27,10.12
1E2,28,13.02
1E2,29,8.92
1E2,30,10.81
1E2,31,11.15
1E2,32,11.36
1E2,33,11.11
1E2,34,12.02
1E2,35,10.00
1E2,36,11.21
1E2,37,9.78
1E2,38,10.98
1E2,39,10.51
1E2,40,10.24
1E2,41,13.05
1E2,42,10.23
1E2,43,11.42
1E2,44,11.32
1E2,45,13.12
1E2,46,12.41
1E2,47,12.35
1E2,48,11.51
1E2,49,12.14
1E2,50,12.42
1E2,51,12.20
1E2,52,10.71
1E2,53,12.33
1E2,54,10.19
1E2,55,12.86
1E2,56,10.05
1E2,57,11.39
1E2,58,12.59
1E2,59,10.22
1E2,60,11.70
1E2,61,12.55
1E2,62,11.28
1E2,63,11.92
1E2,64,12.28
1E2,65,12.73
1E2,66,13.06
1E2,67,11.95
1E2,68,11.90
1E2,69,8.58
1E2,70,10.37
1E2,71,11.42
1E2,72,12.10
1E2,73,13.01
1E2,74,12.47
1E2,75,12.12
1E2,76,12.77
1E2,77,12.95
1E2,78,12.88
1E2,79,12.92
1E2,80,12.47
1E2,81,12.51
1E2,82,13.08
1E2,83,12.96
1E2,84,12.78
1E2,85,13.46
1E2,86,13.56
1E2,87,13.05
1E2,88,13.14
1E2,89,13.03
1E2,90,13.14
1E2,91,12.88
1E2,92,13.57
1E2,93,13.45
1E2,94,13.82
1E2,95,13.64
1E2,96,12.08
1E2,97,14.86
1E2,98,14.39
1E2,99,14.00
1E2,100,14.21
